0	50	100	80	40
1	54	63	70	31
2	101	43	57	19
3	163	64	53	18
4	244	108	72	28
5	158	184	90	57
6	108	193	98	64
7	62	165	93	73
8	42	128	64	55
9	35	87	52	31
10	40	59	39	22
11	85	39	30	16
12	149	47	30	15
13	231	72	31	37
14	254	138	39	58
15	141	226	57	113
16	65	186	52	101
17	34	122	47	80
18	36	71	35	49
19	35	51	34	35
20	63	31	33	22
21	138	36	34	13
22	258	59	42	12
23	308	140	80	38
24	203	249	109	68
25	78	274	116	58
26	35	207	103	31
27	20	118	84	24
28	21	73	68	17
29	36	55	53	11
30	70	33	49	6
31	126	31	51	4
32	249	37	63	12
33	327	118	101	23
34	187	299	145	57
35	59	271	147	60
36	27	182	123	38
37	22	113	97	28
38	29	68	74	13
39	63	46	59	7
40	109	41	59	6
41	178	47	68	6
42	306	75	92	15
43	316	186	153	40
44	118	288	199	76
45	47	211	190	55
46	21	132	147	41
47	16	83	112	21
48	41	54	89	15
49	70	36	78	11
50	121	26	78	13
51	205	36	73	23
52	278	71	103	23
53	208	141	184	69
54	114	182	170	85
55	59	139	149	65
56	48	100	119	53
57	42	76	103	37
58	49	63	94	22
59	66	41	80	13
60	114	46	70	18
61	212	60	67	24
62	283	75	101	39
63	215	150	119	108
64	91	169	124	123
65	28	146	102	91
66	20	97	85	59
67	36	56	64	39
68	65	34	53	20
69	112	26	50	14
70	207	31	55	11
71	376	53	80	29
72	243	190	156	121
73	63	203	162	141
74	25	149	129	79
75	49	94	99	36
76	66	82	82	24
77	110	62	75	22
78	155	81	82	32
79	164	96	88	43
80	132	134	103	48
81	101	145	101	35
82	76	129	101	25
83	73	100	82	17
84	90	76	68	14
85	118	81	72	10
86	155	89	89	13
87	140	127	104	24
88	120	143	109	30
89	116	136	103	31
90	100	123	97	26
91	70	106	99	19
92	99	96	86	14
93	121	97	83	9
94	134	129	93	9
95	125	163	88	7
96	124	157	110	14
97	111	165	104	15
98	79	145	95	12
99	92	114	86	11
100	119	109	75	7
101	184	112	84	11
102	164	150	105	21
103	162	161	112	24
104	99	183	109	28
105	88	145	100	22
106	65	126	90	18
107	74	97	85	13
108	102	63	82	11
109	166	68	83	13
110	219	94	102	28
111	196	172	129	53
112	92	174	135	57
113	55	135	123	50
114	62	88	107	31
115	51	65	100	19
116	62	44	77	14
117	117	40	65	16
118	179	51	77	10
119	267	68	120	20
120	249	159	161	39
121	109	210	205	57
122	59	162	174	52
123	48	122	132	33
124	56	90	110	15
125	71	68	103	17
126	107	61	94	11
127	167	52	97	17
128	226	81	100	40
129	190	107	122	72
130	128	118	146	96
131	103	114	125	89
132	57	102	118	71
133	49	69	107	53
134	74	57	90	24
135	106	45	89	25
136	158	35	92	32
137	227	51	95	54
138	206	96	118	77
139	137	118	147	86
140	73	142	129	71
141	44	122	102	51
142	62	71	87	32
143	90	53	78	23
144	114	49	80	20
145	169	71	84	23
146	200	102	94	45
147	196	154	111	58
148	123	182	112	76
149	73	148	96	70
150	56	105	77	40
151	70	79	68	28
152	80	61	56	25
153	125	61	53	22
154	186	81	55	26
155	223	116	65	41
156	214	179	72	50
157	106	202	92	74
158	66	176	86	56
159	55	146	65	30
160	60	101	55	15
161	79	71	56	14
162	133	54	45	10
163	240	56	51	12
164	358	137	73	17
165	183	301	118	63
166	59	305	101	56
167	22	223	84	35
168	24	124	61	17
169	26	75	44	11
170	51	51	38	8
171	118	36	31	9
172	263	51	29	10
173	386	144	56	33
174	193	352	73	69
175	42	323	72	78
176	29	219	62	46
177	27	135	52	33
178	26	93	45	13
179	36	62	36	9
180	58	45	34	4
181	143	33	38	3
182	242	69	51	14
183	239	158	88	35
184	146	202	107	54
185	74	197	102	60
186	52	158	90	48
187	47	122	84	35
188	54	74	71	18
189	76	52	68	12
190	120	52	60	7
191	188	53	72	12
192	221	92	85	32
193	183	152	109	44
194	93	183	121	66
195	67	147	121	45
196	66	122	105	25
197	81	98	86	25
198	84	91	85	28
199	118	66	95	21
200	176	78	92	16
